Carnet,Nombre,IngresoFamiliar,FechaNacimiento
201897726,Lira Ivasyushkin,28238.52,14/02/1993
200311994,Aggi Teasell,18399.76,30/06/1990
201449207,Benoit Parman,46210.87,26/06/1992
200167569,Lian Sipson,22908.81,22/10/1994
200134336,Malinda Castro,33781.22,26/06/1995
200822703,Connor Blaza,47837.19,08/05/1991
200556269,Arvin Posselt,7941.92,06/12/1995
200674923,Sheilakathryn Davidovitz,41769.68,15/09/2001
201162417,Chris Bloomfield,23315.78,25/06/1986
200035629,Benetta Campes,44038.01,21/08/1994
200996327,Farr Emanuel,9347.86,22/12/1996
200750040,Amata Mugridge,35405.08,27/04/1991
200405613,Leisha Prantoni,17246.6,01/06/1996
201690075,Velvet Hardy-Piggin,41768.11,03/11/1999
200618373,Erna Yakovlev,13715.02,01/03/1987
201958801,Meaghan Critchell,15102.02,12/05/1991
200365084,Robers Clamp,35998.62,22/05/1986
201652342,Husein Bate,35113.68,12/07/1986
201740644,Townsend O'Hanley,3196.1,22/12/1992
201837256,Lucian Harlin,21633.81,17/10/1990
200414329,Dana Bysaker,14615.66,30/07/1987
201911635,Trescha Stenner,8175.87,04/06/1997
200554487,Michel McDougle,22800.46,30/10/1997
200061775,Friedrick Proudley,3042.26,17/11/2001
200048365,Towney Axton,29570.0,16/06/2001
201179446,Hedy Langfat,21225.15,13/10/1987
201376182,Marcelia Hoult,4877.65,20/01/2002
201524073,Kermit Mattock,39397.13,28/06/1986
201541092,Roosevelt Bliben,41645.39,06/06/1989
200269334,Jarid Vallantine,11739.86,15/08/1991
200374409,Nicky Garrigan,5522.7,02/08/1993
200627281,Carlos Stallard,41638.22,28/10/1994
200115869,Robby Clute,34642.45,19/04/2001
200064291,Nickola Geistmann,12881.28,15/11/1990
201928167,Ulrick Parkyns,31062.34,25/06/1990
201315311,Terra Solomon,45413.78,21/11/1990
201506699,Ardyth Olech,35356.23,31/03/1987
201384598,Gayel Harnes,20317.13,31/10/2001
200267431,Shirlene Parminter,19758.05,27/02/2001
200209262,Neron Lehrer,34673.31,26/12/1996
201073918,Dionne Poundsford,3945.4,12/02/2000
201822019,Sigfried Barthrup,5960.7,29/10/1997
200970237,Ashlie Francino,9490.2,22/03/2000
201900236,Erl Barzen,36425.77,16/10/1995
201755979,Licha Danaher,34508.11,15/03/1989
201391039,Gabriel Hevey,38134.78,18/12/1997
200641468,Darrin Janikowski,38388.03,18/04/1994
200154227,Marcelline Happel,26590.63,30/08/1986
202019775,Julieta Gye,12947.68,25/03/1992
201240001,Sharron Conklin,26065.51,05/10/1993
200388937,Catharina Rosendorf,21587.86,30/08/1991
202080662,Curtice Dearnley,14636.34,05/09/1997
200603954,Elinore Niland,18144.8,02/11/1997
200790598,Mireielle Scarf,21408.46,25/03/2000
200992841,Anissa Trengrouse,23098.19,11/11/1986
200499096,Ogdan Shirland,46440.25,10/01/1992
201175577,Dareen Stirley,8765.26,21/04/2000
201940659,Charil Presslie,20778.04,30/07/2000
201862635,Genvieve Nisot,12131.82,28/09/1990
201125498,Selma Kimmons,37526.67,30/08/1996
202060074,Gerek Felce,27234.99,24/01/1994
200613823,Charles Spondley,3185.17,15/12/1996
200271121,Danica McKenney,25659.14,08/04/1994
200542929,Vickie Brash,37610.53,15/06/1992
201591400,Ralina Rosengart,49761.28,15/04/1989
200889535,Dillon Boleyn,35318.29,20/07/1986
200050185,Amargo Madoc-Jones,36802.2,15/09/1996
202070635,Hunt Jasik,41667.15,11/07/1990
200482748,Toinette Buckthought,14616.77,17/08/1994
200356645,Bruno Gianiello,36887.66,15/02/1998
201662953,Leslie Duhig,18860.87,03/07/2000
201554800,Sissie Cownden,36261.99,12/09/1992
201103128,Katherina Martin,20620.12,14/11/1998
201017562,Corrine Suggitt,3218.47,17/01/1997
