Carnet,Nombre,IngresoFamiliar,FechaNacimiento
201797275,Sande Cadwell,Cadwell,$2376.41
199624218,Faun Minchindon,Minchindon,$2831.80
201630167,Nicholle Diperaus,Diperaus,$1088.64
201236653,Deeanne Lermouth,Lermouth,$2130.78
200403189,Eduard Abrahim,Abrahim,$2165.34
200571182,Malachi Worsnap,Worsnap,$1970.57
201635210,Leonelle Norkutt,Norkutt,$1548.76
199502295,Ross Cana,Cana,$1421.70
201551851,Catlin Doerling,Doerling,$2850.48
199447543,Robbert Evreux,Evreux,$1300.50
200109643,Karilynn Hammerson,Hammerson,$2630.49
200388586,Bradford Slocket,Slocket,$1048.77
199045540,Nicoli Levermore,Levermore,$2877.63
200510702,Kelsi Brezlaw,Brezlaw,$2461.60
200751056,Taber Trenholm,Trenholm,$2820.46
201286822,Dianne Duell,Duell,$2627.91
201297248,Caroljean Vedekhov,Vedekhov,$2283.20
199321581,Darrell Chessell,Chessell,$2797.78
200785105,Velvet Pinchback,Pinchback,$1845.42
200967535,Elberta Oleszczak,Oleszczak,$1021.02
200563138,Del Joiris,Joiris,$2503.30
201770764,Sarina Awin,Awin,$1036.40
200213995,Danya Wateridge,Wateridge,$1807.09
201940586,Delila Tommaseo,Tommaseo,$2261.70
200183103,Noby Rubrow,Rubrow,$1172.08
199323962,Essie Romeuf,Romeuf,$1308.36
201038605,June Meneely,Meneely,$1613.26
199814094,Ernie Abramamovh,Abramamovh,$2012.09
200991068,Emmett Grigoliis,Grigoliis,$1754.87
199625217,Curcio Teaze,Teaze,$2611.91
199674967,Audrey Worley,Worley,$2826.24
199818774,Pier Connow,Connow,$1598.82
200849663,Shaylah Goodrick,Goodrick,$1940.22
201937386,Kelli Wadeson,Wadeson,$2179.48
199171000,Dolorita Bumford,Bumford,$1370.71
199590828,Kassi Defty,Defty,$2915.83
200373586,Trish Hurlston,Hurlston,$1196.35
200462592,Montague Ruthven,Ruthven,$1033.42
200095225,Bernadina Cordeix,Cordeix,$1732.11
201766745,Sher Frotton,Frotton,$1114.56
201268146,Issie Wrout,Wrout,$1568.79
201883758,Derek Rudkin,Rudkin,$2435.47
201239415,Jarrod Winterflood,Winterflood,$1244.08
201343665,Marve Della,Della,$1170.66
200745031,Gael Hincks,Hincks,$1668.54
200488500,Amabelle Frisch,Frisch,$2305.54
201814949,Talbot Hallad,Hallad,$1655.05
201014932,Reina Brocklehurst,Brocklehurst,$1254.92
199491206,Bambi MacHostie,MacHostie,$2766.34
201401810,Winfred Jeannet,Jeannet,$1918.72
201819998,Marielle Raddish,Raddish,$1448.05
201015463,Sheffy Bycraft,Bycraft,$1807.71
200123390,Samson Joppich,Joppich,$2105.59
200641719,Ashbey Singh,Singh,$2475.72
201014322,Natty Khristyukhin,Khristyukhin,$1925.31
201326094,Addy Murch,Murch,$2194.53
200701234,Cecil Hallows,Hallows,$2625.44
199942536,Lorant McPike,McPike,$1033.13
201497512,Ulla Condie,Condie,$2694.41
201134274,Kenyon Soppeth,Soppeth,$1241.72
201183206,Pearce Lingard,Lingard,$2380.62
199888123,Egbert Pennells,Pennells,$1461.08
200552613,Gayle Rannie,Rannie,$2670.83
199304018,Darsey Rhodes,Rhodes,$2765.76
200930733,Nefen Siuda,Siuda,$1426.02
201677081,Regen Pomfret,Pomfret,$1201.05
200781061,Sheilakathryn Gianetti,Gianetti,$1273.98
199884063,Windy Whittington,Whittington,$2260.90
200701653,Happy Hoopper,Hoopper,$2244.02
200737731,Marj Kiln,Kiln,$2107.96
200848588,Bartram Ormshaw,Ormshaw,$1085.61
201640477,Aubrette Winterborne,Winterborne,$2491.03
199183889,Liana Rosle,Rosle,$1985.92
201403986,Angelo Dorracott,Dorracott,$1979.73
201601017,Aleta Medlen,Medlen,$2596.89
201226499,Valry Sokale,Sokale,$2625.17
200131889,Aharon Shotboult,Shotboult,$2319.24
201408233,Shayne Heathwood,Heathwood,$1058.89
199387138,Gayle Orrett,Orrett,$1446.61
201026675,Evy Berge,Berge,$1479.01
200303772,Sheri Bein,Bein,$1004.04
201190632,Templeton Bernardotti,Bernardotti,$2463.08
199830399,Dmitri Christophle,Christophle,$1354.69
199264917,Bess Thumnel,Thumnel,$2482.86
199079957,Alvy Lavers,Lavers,$2167.39
201380260,Amara Alessandrelli,Alessandrelli,$2679.95
201772966,Alick Twigger,Twigger,$1934.95
200419404,Gualterio Stapels,Stapels,$1344.73
201921418,Zsazsa Stollenbeck,Stollenbeck,$2180.00
199601551,Marrissa Pezey,Pezey,$2047.37
200624430,Matteo Thonason,Thonason,$1550.55
200071331,Traci Hubback,Hubback,$1899.80
200945948,Rutter Rennenbach,Rennenbach,$1054.67
201817446,Andie Washington,Washington,$2530.15
199831681,Rae Rowney,Rowney,$1769.01
200970530,Brandy Gerritsma,Gerritsma,$2579.58
199351138,Burr Greenhalgh,Greenhalgh,$1538.82
201724971,Immanuel MacGlory,MacGlory,$2034.78
199469051,Ermentrude Mayoral,Mayoral,$1313.99
200658798,Rochester Bohills,Bohills,$2222.15
